﻿Session,Title,URL
"Current Session","Number pattern programs in C - Codeforwin","https://codeforwin.org/2016/06/number-pattern-programs-in-c.html"
"Current Session","Find minimum time to finish all jobs with given constraints - GeeksforGeeks","https://www.geeksforgeeks.org/find-minimum-time-to-finish-all-jobs-with-given-constraints/"
"Current Session","Linear Algebra Cheat Sheet · scalanlp/breeze Wiki","https://github.com/scalanlp/breeze/wiki/Linear-Algebra-Cheat-Sheet"
"Current Session","Programming Interview Questions - Arden DertatArden Dertat","http://www.ardendertat.com/2012/01/09/programming-interview-questions/"
"Current Session","OpenCV-Python Tutorials — OpenCV-Python Tutorials 1 documentation","https://opencv-python-tutroals.readthedocs.io/en/latest/py_tutorials/py_tutorials.html"
"Current Session","CIFAR-10 CNN - Keras Documentation","https://keras.io/examples/cifar10_cnn/"
"Current Session","Testing Scala with sbt and ScalaTest on the Command Line | Scala Documentation","https://docs.scala-lang.org/getting-started/sbt-track/testing-scala-with-sbt-on-the-command-line.html"
"Current Session","TCP Flow Control - InetDaemon's IT Tutorials","https://www.inetdaemon.com/tutorials/internet/tcp/flow_control.shtml"
"Current Session","TensorFlow Object Detection API tutorial — TensorFlow Object Detection API tutorial documentation","https://tensorflow-object-detection-api-tutorial.readthedocs.io/en/latest/"
"Current Session","Python Programming Tutorials","https://pythonprogramming.net/training-custom-objects-tensorflow-object-detection-api-tutorial/?completed=/creating-tfrecord-files-tensorflow-object-detection-api-tutorial/"
"Current Session","Paperspace - Login","https://www.paperspace.com/account/login"
"Current Session","String Functions in Hive","https://www.folkstalk.com/2011/11/string-functions-in-hive.html"
"Current Session","How to Improve Hive Query Performance With Hadoop - DZone Performance","https://dzone.com/articles/how-to-improve-hive-query-performance-with-hadoop"
"Current Session","Hadoop Hive Conditional Functions: IF,CASE,COALESCE,NVL,DECODE - DWgeek.com","https://dwgeek.com/hadoop-hive-conditional-functions-if-case-coalesce-nvl-decode.html/"
"Current Session","Writing Custom Hive UDF and&nbsp;UDAF - DZone Big Data","https://dzone.com/articles/writing-custom-hive-udf-andudaf"
"Current Session","Raj-Design-questions/awesome-scalability: High Scalability, High Availability, High Stability, High Performance, and High Intelligence Back-End Design Patterns","https://github.com/Raj-Design-questions/awesome-scalability"
"Current Session","Meet Michelangelo: Uber's Machine Learning Platform","https://eng.uber.com/michelangelo-machine-learning-platform/"
"Current Session","Postman","chrome-extension://coohjcphdfgbiolnekdpbcijmhambjff/index.html"
"Current Session","Help and Documentation in IPython | Python Data Science Handbook","https://jakevdp.github.io/PythonDataScienceHandbook/01.01-help-and-documentation.html"
"Current Session","28 Jupyter Notebook Tips, Tricks, and Shortcuts for Data Science","https://www.dataquest.io/blog/jupyter-notebook-tips-tricks-shortcuts/"
"Current Session","Create cron job or schedule jobs using bash scripts in Linux or Unix","https://www.golinuxcloud.com/create-schedule-cron-job-shell-script-linux/"
"Current Session","The ps Command","http://www.linfo.org/ps.html"
"Current Session","AWS Command line: S3 content from stdin or to stdout","https://loige.co/aws-command-line-s3-content-from-stdin-or-to-stdout/"
"Current Session","Hadoop Hive Analytic Functions and Examples - DWgeek.com","https://dwgeek.com/hadoop-hive-analytic-functions-examples.html/"
"Current Session","How to split the input file in Apache Spark - Stack Overflow","https://stackoverflow.com/questions/27619230/how-to-split-the-input-file-in-apache-spark"
"Current Session","python - Splitting +10GB .csv File into equal Parts without reading into Memory - Stack Overflow","https://stackoverflow.com/questions/53028454/splitting-10gb-csv-file-into-equal-parts-without-reading-into-memory"
"Current Session","Split large files into a number of smaller files in Unix","https://kb.iu.edu/d/afar"
"Current Session","Complex Json transformation using Hive functions - Cloudera Community","https://community.cloudera.com/t5/Support-Questions/Complex-Json-transformation-using-Hive-functions/td-p/236476"
